25	102.3
27	91.7
32	75.8
33	73.6
34	69.7
36	65.5
38	58.11
39	56.43
40	54.34
41	51.65
43	48.54
44	45.03
47	41.68
49	36.09
50	35.22
51	34.4
52	33.33
53	32.04
54	30.33
56	27.38
59	24.17
65	19.82
71	15.55
78	12.8
111	4.567
126	3.038
132	2.624
134	2.471
138	2.237
140	2.134
141	2.065
143	1.999
144	1.936
145	1.928
152	1.573
154	1.519
155	1.467
158	1.366
158	1.416
160	1.305
162	1.258
163	1.212
165	1.167
166	1.124
168	1.083
170	1.04
171	1
173	0.961
175	0.923
177	0.886
179	0.85
180	0.814
182	0.78
184	0.745
186	0.713
189	0.677
191	0.646
193	0.616
196	0.585
198	0.556
201	0.527
203	0.498
206	0.471
209	0.443
212	0.416
216	0.389
219	0.363
223	0.337
227	0.312
231	0.287
236	0.263
242	0.242
